"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
-0.2,5,3.5,3.8,2.2,2.9,4.5,3.3,0,2.9,NA,-3.8,2.1,20,-40,0.1,0.6,1.8,"Hip.","03","SF","Intermediário","AFN","L","Dorm. N","Curitiba"
0,-3.4,30.6,5.9,6.6,5.3,4.7,5.9,0,8,NA,-3.1,0,0,-28.6,0.3,0,1.2,"Hip.","03","SF","Intermediário","AFN","L","Dorm. S","Curitiba"
-0.4,4.9,9.4,5.3,6.3,5,22.3,11.8,0,-31.7,NA,-1.6,0,5.1,NA,-2.8,0.9,0,"Hip.","03","SF","Intermediário","AFN","L","Sala","Curitiba"
-0.6,11.5,3.8,14.5,6.1,7,7.5,9.1,-3.7,6.2,NA,-8.3,5.3,52.4,0,-1.2,2.9,-5.6,"Hip.","03","SF","Intermediário","AFN","NE","Dorm. 1","Curitiba"
-0.6,11.5,5.7,15.1,7.4,7.2,7.6,9.4,-3.8,6.5,NA,-8.2,2.7,53.8,0,-1.3,3.2,-5.1,"Hip.","03","SF","Intermediário","AFN","NE","Dorm. 2","Curitiba"
-0.8,14.2,6.2,35.5,11.8,8.6,8.7,17.8,-5.9,-20.4,NA,-6.3,2.8,6,NA,-5.6,3.9,-0.6,"Hip.","03","SF","Intermediário","AFN","NE","Sala","Curitiba"
-0.6,11.5,3.8,14.5,7.3,7,6.2,9.1,-3.7,6.1,NA,-8.2,5.3,57.1,0,-1.1,2.9,-5.6,"Hip.","03","SF","Intermediário","AFN","NO","Dorm. 1","Curitiba"
-0.6,11.1,5.7,15.1,7.4,7.2,8.3,9.4,-3.8,6.5,NA,-8.1,2.7,53.8,Inf,-1.4,3.2,-5.1,"Hip.","03","SF","Intermediário","AFN","NO","Dorm. 2","Curitiba"
-0.5,14.2,6.2,35.5,8.5,8.6,12,17.5,-5.9,-20.4,NA,-6.2,2.8,6,NA,-5.6,3.9,0,"Hip.","03","SF","Intermediário","AFN","NO","Sala","Curitiba"
0,-2.3,8.4,4.4,2.6,-7.1,1.6,-1,1.8,5.6,NA,0,0,20,0,0,0.3,0,"Hip.","03","SF","Intermediário","AFN","SE","Dorm. 1","Curitiba"
0,-0.6,9.5,3.2,3.3,-4.8,2.9,1,1.8,5.6,NA,-0.3,0,16.7,-33.3,0.1,0.6,-3.4,"Hip.","03","SF","Intermediário","AFN","SE","Dorm. 2","Curitiba"
0,0.5,9.6,5.4,1.7,13.6,3.4,7.6,1.8,-38.2,NA,-1.1,0,3,NA,-0.9,0.6,0,"Hip.","03","SF","Intermediário","AFN","SE","Sala","Curitiba"
0,-2.3,7.1,2.2,1.6,-6.2,1.3,-1,1.8,5.6,NA,0.3,0,20,0,-0.1,0.6,0,"Hip.","03","SF","Intermediário","AFN","SO","Dorm. 1","Curitiba"
0,-0.6,9.5,3.2,2.9,-4.8,3.3,1,1.8,5.6,NA,-0.3,0,16.7,-33.3,0.1,0.6,-3.4,"Hip.","03","SF","Intermediário","AFN","SO","Dorm. 2","Curitiba"
0,0.5,9.6,5.4,3.4,13.6,1.7,7.2,0,-38.2,NA,-1,0,3,NA,-0.9,0.6,0,"Hip.","03","SF","Intermediário","AFN","SO","Sala","Curitiba"
-0.2,5.3,4,2.9,3.7,2.9,2.1,3.3,-2.2,2.7,NA,-3.7,2.1,11.1,-50,-0.1,0,1.2,"Hip.","03","SF","Intermediário","AFN","O","Dorm. N","Curitiba"
0,-3.9,24.6,5.4,4.4,3.7,4.1,4.6,0,3.4,NA,-2.6,2.2,0,-38.5,0.5,0.6,0.6,"Hip.","03","SF","Intermediário","AFN","O","Dorm. S","Curitiba"
-0.2,7.5,4.5,5.4,25.7,4.1,5.4,12.5,0,-33.3,NA,-2.7,3,2.1,NA,-1.9,1.4,0,"Hip.","03","SF","Intermediário","AFN","O","Sala","Curitiba"
-0.5,2.6,4.2,2.5,2.1,2.2,3.6,2.4,-4,2.4,NA,-3.3,1.2,2.6,NA,-3.5,0.5,-0.5,"Hip.","03","SF","Intermediário","AFN","L","Dorm. N","Rio de Janeiro"
-0.5,-6.4,26.7,3.8,3.2,3.3,1.9,2.6,0,3.3,NA,-2.1,0,1.7,NA,-1.9,0,-0.5,"Hip.","03","SF","Intermediário","AFN","L","Dorm. S","Rio de Janeiro"
-0.3,3.7,5.9,4,3.4,3.8,20.3,9.5,0,-34.6,NA,-1.9,3,-0.6,NA,5.5,0.5,0,"Hip.","03","SF","Intermediário","AFN","L","Sala","Rio de Janeiro"
-1.5,12.6,1.8,14.7,5,5.2,6.8,8.7,-7,5.7,NA,-8,2.3,5.5,NA,-16,1.8,0,"Hip.","03","SF","Intermediário","AFN","NE","Dorm. 1","Rio de Janeiro"
-1.9,12.7,3.5,17.2,7.5,6.2,7.4,9.3,-7,6.1,NA,-8,2.5,5.4,NA,-17.5,1.7,0.5,"Hip.","03","SF","Intermediário","AFN","NE","Dorm. 2","Rio de Janeiro"
-1.4,15.7,4.1,35.8,11.7,8.6,8.7,17.7,-7.5,-20.3,NA,-8.1,2.7,0.5,NA,-13.9,2.2,1,"Hip.","03","SF","Intermediário","AFN","NE","Sala","Rio de Janeiro"
-1.5,12.7,1.2,14.7,6.8,6.1,5.1,8.8,-7,5.7,NA,-8,2.3,5.5,NA,-16,1.8,0,"Hip.","03","SF","Intermediário","AFN","NO","Dorm. 1","Rio de Janeiro"
-1.9,12.4,3.5,17.2,6.8,6.2,7.5,9.3,-7,6.1,NA,-7.9,2.5,5.4,NA,-17.5,1.7,0.5,"Hip.","03","SF","Intermediário","AFN","NO","Dorm. 2","Rio de Janeiro"
-1.4,15.7,4.1,35.8,8.6,9.7,11.8,17.4,-7.5,-20.3,NA,-8.1,2.7,0.5,NA,-13.9,2.2,1,"Hip.","03","SF","Intermediário","AFN","NO","Sala","Rio de Janeiro"
0,-3.7,4.3,0,0,-8.9,-1.4,-3.8,2.5,0,NA,1.5,-2.5,-1.4,NA,1.9,0.8,-0.5,"Hip.","03","SF","Intermediário","AFN","SE","Dorm. 1","Rio de Janeiro"
0,-2.7,4.3,0,0,-7.6,0.9,-1.7,0,0,NA,1.4,0,-0.8,NA,1.2,0.8,-0.5,"Hip.","03","SF","Intermediário","AFN","SE","Dorm. 2","Rio de Janeiro"
-0.3,-2,4.7,2.2,0,8.9,1.5,3.4,2.5,-39.5,NA,2,-3.1,-0.9,NA,3.9,1,-1,"Hip.","03","SF","Intermediário","AFN","SE","Sala","Rio de Janeiro"
0,-4.8,3.2,-1.7,-1.4,-9.7,-1.2,-3.9,2.5,0,NA,1.7,0,-1.5,NA,2.2,0.8,-1,"Hip.","03","SF","Intermediário","AFN","SO","Dorm. 1","Rio de Janeiro"
