"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
47.6,31.2,8.8,12.1,12.8,9.3,16.6,50.8,-4.7,3.1,0,-96.5,4.8,1.9,7.6,90.4,34.4,13.5,"Hip.","03","SF","Cobertura","AFN","L","Dorm. N","Curitiba"
47.6,17.6,5.3,3.7,6.5,7.7,9.2,27,-6.4,2.5,0,-90.5,4.6,1.7,9.5,88.9,34.9,13.1,"Hip.","03","SF","Cobertura","AFN","L","Dorm. S","Curitiba"
48.5,29,10,7.4,9.3,7.8,16.8,41.3,-4.8,3.9,0,-107.3,3.1,40.7,1.7,57.6,34.6,13.3,"Hip.","03","SF","Cobertura","AFN","L","Sala","Curitiba"
35.9,31.8,7,15.7,11.8,8.7,9.5,45.7,-5.6,2.8,0,-115,3.3,3.4,5.8,90.8,35,14.3,"Hip.","03","SF","Cobertura","AFN","NE","Dorm. 1","Curitiba"
35.7,31.3,6.9,11.9,14.3,6,16.3,48.5,-5.5,2.7,0,-114,3.2,4.1,5.5,90.4,35.1,14.4,"Hip.","03","SF","Cobertura","AFN","NE","Dorm. 2","Curitiba"
37.2,34.9,8.9,13.8,9.5,7.3,9.4,40.1,-5.1,3.7,0,-128.5,3.5,50.5,0.3,49.2,34.5,14,"Hip.","03","SF","Cobertura","AFN","NE","Sala","Curitiba"
35.9,31.8,7,15.7,9.7,8.7,11.5,45.6,-5.6,2.9,0,-115,3.3,3.4,5.8,90.8,35,14.3,"Hip.","03","SF","Cobertura","AFN","NO","Dorm. 1","Curitiba"
35.7,31.4,6.9,11.9,16.8,6,13.8,48.6,-5.5,2.7,0,-114,3.2,4.1,5.5,90.4,35.1,14.4,"Hip.","03","SF","Cobertura","AFN","NO","Dorm. 2","Curitiba"
37.2,34.9,8.9,13.9,9.7,7.3,9.4,40.1,-5.1,3.7,0,-128.5,3.5,50.5,0.2,49.2,34.5,14,"Hip.","03","SF","Cobertura","AFN","NO","Sala","Curitiba"
36.2,17.9,7.2,4.5,7.7,10.3,6.2,28.7,-5.8,1.8,0,-90.7,2.9,2.3,10,87.7,34.9,13.1,"Hip.","03","SF","Cobertura","AFN","SE","Dorm. 1","Curitiba"
36.1,18,7.1,3,9,7.8,10.5,30.4,-5.7,1.8,0,-90,2.7,2.7,9.6,87.7,34.9,13.2,"Hip.","03","SF","Cobertura","AFN","SE","Dorm. 2","Curitiba"
38.7,19.4,8.3,3.8,6.1,9,6,24.9,-5.6,2.2,0,-86.3,2.8,32.6,3.6,63.9,34.5,12.9,"Hip.","03","SF","Cobertura","AFN","SE","Sala","Curitiba"
36.2,18,7.2,4.5,6.3,10.3,7.8,28.8,-5.8,1.8,0,-90.9,2.9,2.4,9.9,87.7,34.9,13.1,"Hip.","03","SF","Cobertura","AFN","SO","Dorm. 1","Curitiba"
36.1,18,7.1,3,10.5,7.8,9,30.4,-5.7,1.8,0,-90,2.7,2.7,9.5,87.7,34.9,13.2,"Hip.","03","SF","Cobertura","AFN","SO","Dorm. 2","Curitiba"
