"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
-1.1,-3,-3.1,-1.5,-4.1,-3.4,-4.1,-13,-1.1,-0.5,0,-20.4,-1.6,1.4,-0.1,-1.4,0.6,-0.3,"Hip.","04","C10","Cobertura","AFN","L","Dorm. N","Curitiba"
-1,-3.7,-2.3,-1.9,-2.5,-1.7,-5.2,-11.3,-0.6,-0.4,0,-11.8,-1.7,1,1.6,-2.5,0.6,-0.6,"Hip.","04","C10","Cobertura","AFN","L","Dorm. S","Curitiba"
-0.1,0.3,0.1,0.1,0.4,0,1.1,1.4,0.1,-1.9,0,0.8,0,1.4,0.8,-2.3,0.5,-0.8,"Hip.","04","C10","Cobertura","AFN","L","Sala","Curitiba"
-0.4,1,-0.4,2.3,0.5,-0.8,0.5,2.3,-0.3,0.1,-0.1,-11.6,0,1.3,0.2,-1.5,0.8,-0.6,"Hip.","04","C10","Cobertura","AFN","NE","Dorm. 1","Curitiba"
-0.2,0.9,-0.1,3.1,1.5,-0.4,0.5,4.7,-0.2,0.2,-0.1,-20,0.4,1.1,0,-1.1,0.7,-0.3,"Hip.","04","C10","Cobertura","AFN","NE","Dorm. 2","Curitiba"
-0.3,1.7,0.2,5.2,1.3,-0.2,0.5,6.7,-0.1,-0.9,-0.1,-7.4,0.1,4.3,0.1,-4.4,0.6,-0.5,"Hip.","04","C10","Cobertura","AFN","NE","Sala","Curitiba"
-0.4,0.9,-0.5,2.4,0.4,-0.9,0.3,2.3,-0.4,0.1,-0.1,-11.8,0,1.4,0.1,-1.5,0.8,-0.6,"Hip.","04","C10","Cobertura","AFN","NO","Dorm. 1","Curitiba"
-0.2,0.9,-0.1,3.1,0.7,-0.3,1.4,4.8,-0.2,0.2,-0.1,-19.8,0.4,1.1,0,-1.1,0.7,-0.3,"Hip.","04","C10","Cobertura","AFN","NO","Dorm. 2","Curitiba"
-0.3,1.7,0.2,5.2,0.5,-0.2,1.3,6.8,-0.1,-1,-0.1,-7.3,0.1,4.3,0.1,-4.3,0.6,-0.5,"Hip.","04","C10","Cobertura","AFN","NO","Sala","Curitiba"
-0.2,-1.1,-0.4,0.3,-1,-5.6,-0.4,-6.7,0.1,-0.1,0,1.6,-0.2,0.6,2.8,-3.3,0.5,-1,"Hip.","04","C10","Cobertura","AFN","SE","Dorm. 1","Curitiba"
0,-0.3,-0.1,0.4,0,-3.1,-1.1,-3.8,0.2,0,0,-5.4,0.2,0.4,2.3,-2.7,0.4,-0.8,"Hip.","04","C10","Cobertura","AFN","SE","Dorm. 2","Curitiba"
0.1,0,0.2,0.6,-0.5,-1,-0.1,-0.9,0.2,-1.1,0,1.8,-0.1,0.6,1.2,-1.8,0.4,-0.9,"Hip.","04","C10","Cobertura","AFN","SE","Sala","Curitiba"
-0.2,-1.1,-0.4,0.3,-0.5,-5.6,-1.1,-6.8,0.1,-0.2,0,1.5,-0.2,0.6,2.7,-3.3,0.5,-1.1,"Hip.","04","C10","Cobertura","AFN","SO","Dorm. 1","Curitiba"
0,-0.3,0,0.4,-1,-3.1,0,-3.8,0.2,0,0,-5.2,0.2,0.4,2.3,-2.7,0.4,-0.8,"Hip.","04","C10","Cobertura","AFN","SO","Dorm. 2","Curitiba"
0.1,-0.1,0.3,0.6,-0.1,-0.9,-0.5,-0.9,0.2,-1.1,0,2,-0.1,0.6,1.2,-1.8,0.4,-0.9,"Hip.","04","C10","Cobertura","AFN","SO","Sala","Curitiba"
-1.4,-4,-3.4,-1.2,-4.5,-3.8,-4.9,-14.4,-1.2,-0.4,-0.1,-26.9,-1.5,2.5,-0.2,-2.3,0.5,-0.3,"Hip.","04","C10","Cobertura","AFN","O","Dorm. N","Curitiba"
-1.2,-4.6,-2.7,-2.3,-5.7,-1.7,-3.3,-13,-0.8,-0.4,0,-17.5,-1.6,2,1,-3,0.6,-0.5,"Hip.","04","C10","Cobertura","AFN","O","Dorm. S","Curitiba"
-0.1,2,0.4,0.2,4.3,0.2,0.4,5.2,0.2,-2.1,-0.1,-2.6,0.1,1.1,0.6,-1.8,0.8,-0.8,"Hip.","04","C10","Cobertura","AFN","O","Sala","Curitiba"
-3.9,-7.9,-6.5,-4.2,-8.4,-6.6,-9.2,-28.3,-2.2,-1,0,-23.6,-5.7,12.6,0,-12.6,0.8,0.5,"Hip.","04","C10","Cobertura","AFN","L","Dorm. N","Rio de Janeiro"
-3,-6.8,-4.6,-4.1,-5.5,-3.2,-8.5,-21.2,-1.4,-0.8,0,-31.9,-4,8.6,0,-8.6,0.8,-0.2,"Hip.","04","C10","Cobertura","AFN","L","Dorm. S","Rio de Janeiro"
0,1.5,0.4,0.2,0.3,0.1,2.6,3.2,0.1,-2.8,0,-2,0,-0.5,0,0.5,0.4,-0.3,"Hip.","04","C10","Cobertura","AFN","L","Sala","Rio de Janeiro"
-0.8,1.9,-0.5,3,1.7,-1,0.4,4.2,-0.5,0.1,0,-9.3,-0.1,4.5,0,-4.5,0.3,-0.1,"Hip.","04","C10","Cobertura","AFN","NE","Dorm. 1","Rio de Janeiro"
-0.4,1.9,-0.1,3.7,1.6,-0.4,1.4,6.2,-0.3,0.3,0,-20.5,0.4,2.8,0,-2.8,0.3,0,"Hip.","04","C10","Cobertura","AFN","NE","Dorm. 2","Rio de Janeiro"
-0.4,2.8,0.2,5.8,1.5,-0.4,0.6,7.7,-0.2,-1,0,-11,0.2,1.4,0,-1.4,0.2,-0.2,"Hip.","04","C10","Cobertura","AFN","NE","Sala","Rio de Janeiro"
-0.7,2,-0.5,2.9,0.4,-1,1.8,4.2,-0.5,0.1,0,-9.5,-0.1,4.5,0,-4.5,0.3,-0.1,"Hip.","04","C10","Cobertura","AFN","NO","Dorm. 1","Rio de Janeiro"
-0.4,1.9,-0.1,3.7,1.4,-0.4,1.6,6.2,-0.3,0.3,0,-20.5,0.4,2.7,0,-2.7,0.3,0,"Hip.","04","C10","Cobertura","AFN","NO","Dorm. 2","Rio de Janeiro"
-0.4,2.8,0.1,5.8,0.6,-0.4,1.5,7.7,-0.2,-1.1,0,-11.2,0.2,1.4,0,-1.4,0.2,-0.2,"Hip.","04","C10","Cobertura","AFN","NO","Sala","Rio de Janeiro"
-0.2,-0.8,-0.6,0,-0.4,-6.2,-0.5,-7.2,-0.1,-0.2,0,2.8,-0.2,-0.8,0,0.8,0.4,-0.6,"Hip.","04","C10","Cobertura","AFN","SE","Dorm. 1","Rio de Janeiro"
0.1,0.2,-0.1,0.2,0.1,-3.5,-0.7,-3.9,0.2,0,0,-6.3,0.2,-1.5,0,1.5,0.4,-0.2,"Hip.","04","C10","Cobertura","AFN","SE","Dorm. 2","Rio de Janeiro"
0,0.4,0.1,0.5,-0.7,-1.3,-0.1,-1.6,0.2,-1.4,0,3.3,-0.2,-1.9,0,1.9,0.3,-0.5,"Hip.","04","C10","Cobertura","AFN","SE","Sala","Rio de Janeiro"
-0.2,-0.8,-0.6,0,-0.5,-6.3,-0.3,-7.1,-0.1,-0.2,0,2.8,-0.2,-0.7,0,0.7,0.5,-0.5,"Hip.","04","C10","Cobertura","AFN","SO","Dorm. 1","Rio de Janeiro"
0.1,0.2,-0.1,0.2,-0.7,-3.6,0.1,-3.9,0.1,0,0,-6.2,0.2,-1.5,0,1.5,0.4,-0.2,"Hip.","04","C10","Cobertura","AFN","SO","Dorm. 2","Rio de Janeiro"
0,0.4,0,0.5,-0.1,-1.3,-0.7,-1.6,0.2,-1.4,0,3.2,-0.2,-1.9,0,1.9,0.3,-0.5,"Hip.","04","C10","Cobertura","AFN","SO","Sala","Rio de Janeiro"
-4.1,-8.2,-6.3,-4.4,-9.1,-6.5,-8.1,-28.1,-2.2,-1.1,0,-26.8,-5.6,12.8,0,-12.8,0.7,0.3,"Hip.","04","C10","Cobertura","AFN","O","Dorm. N","Rio de Janeiro"
-3.2,-7.1,-4.3,-3.8,-8.4,-3.2,-5.2,-20.6,-1.4,-0.8,0,-35,-3.9,8.7,0,-8.7,0.7,-0.1,"Hip.","04","C10","Cobertura","AFN","O","Dorm. S","Rio de Janeiro"
0,2.2,0.4,0.2,2.8,0.1,0.6,3.7,0.2,-3,0,-2.9,0.1,-0.7,0,0.7,0.4,-0.6,"Hip.","04","C10","Cobertura","AFN","O","Sala","Rio de Janeiro"
-2.3,-5.7,-4.5,-2.3,-5.8,-4.7,-6.4,-19.2,-1.5,-0.6,-0.1,-29.2,-3.1,10.8,0.1,-10.9,0.7,-0.5,"Hip.","04","C10","Cobertura","AFN","L","Dorm. N","São Paulo"
-2,-6.6,-4.1,-3.6,-4.8,-3,-7.7,-19.2,-1.2,-0.8,0,-9.6,-4.1,7.9,0.6,-8.5,0.4,-0.6,"Hip.","04","C10","Cobertura","AFN","L","Dorm. S","São Paulo"
0,0.4,0.2,0.1,0.4,0,2.6,3,0.1,-2.3,0,-1.1,0,0,0.2,-0.3,0.5,-0.9,"Hip.","04","C10","Cobertura","AFN","L","Sala","São Paulo"
-0.5,0.5,-0.5,3,0.7,-1.1,0.4,3,-0.4,0.1,0,-9,-0.1,4.6,0.3,-4.9,0.7,-0.9,"Hip.","04","C10","Cobertura","AFN","NE","Dorm. 1","São Paulo"
-0.2,0.3,-0.2,3.5,1.4,-0.4,0.6,5.2,-0.2,0.2,0,-18.8,0.4,2.8,0.2,-3,0.5,-0.7,"Hip.","04","C10","Cobertura","AFN","NE","Dorm. 2","São Paulo"
-0.3,1.2,0.2,5.6,1.4,-0.2,0.5,7.2,-0.2,-1,0,-7.4,0.1,3,0.2,-3.2,0.5,-0.7,"Hip.","04","C10","Cobertura","AFN","NE","Sala","São Paulo"
-0.5,0.4,-0.5,2.9,0.4,-1,0.7,3,-0.4,0.1,-0.1,-9.2,-0.1,4.7,0.3,-5,0.7,-0.9,"Hip.","04","C10","Cobertura","AFN","NO","Dorm. 1","São Paulo"
-0.2,0.3,-0.2,3.5,0.6,-0.4,1.4,5.2,-0.2,0.2,0,-18.6,0.4,2.9,0.2,-3,0.5,-0.7,"Hip.","04","C10","Cobertura","AFN","NO","Dorm. 2","São Paulo"
-0.3,1.2,0.2,5.6,0.5,-0.2,1.4,7.2,-0.2,-0.9,0,-7.5,0.1,3,0.2,-3.1,0.5,-0.7,"Hip.","04","C10","Cobertura","AFN","NO","Sala","São Paulo"
-0.2,-1.5,-0.6,0,-0.7,-5.5,-0.5,-6.7,-0.1,-0.1,0,3.3,-0.3,1.6,1.2,-2.9,0.3,-1.1,"Hip.","04","C10","Cobertura","AFN","SE","Dorm. 1","São Paulo"
0,-0.8,-0.2,0.2,0,-3.1,-1.1,-3.9,0.1,0,0,-4.2,0.2,0.4,0.7,-1.1,0.3,-0.8,"Hip.","04","C10","Cobertura","AFN","SE","Dorm. 2","São Paulo"
0,-0.7,0,0.5,-0.5,-0.9,-0.2,-1.2,0.2,-1.2,0,2.9,-0.1,-0.2,0.1,0.1,0.2,-0.9,"Hip.","04","C10","Cobertura","AFN","SE","Sala","São Paulo"
-0.2,-1.6,-0.6,0,-0.5,-5.5,-0.7,-6.7,-0.1,-0.1,0,3.5,-0.3,1.7,1.1,-2.9,0.3,-1.2,"Hip.","04","C10","Cobertura","AFN","SO","Dorm. 1","São Paulo"
