"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
47.2,14.8,9.6,9.2,9.5,7,12.1,37.8,-4.2,2.5,0,-121.5,3.6,0,0.2,99.8,30.8,17.5,"Hip.","04","SF","Térreo","AFN","L","Dorm. N","Curitiba"
47.5,6.9,4.3,1.9,4.4,5,5.8,17.2,-5.6,1.6,0,-95,3.1,0,0.8,99.2,29.4,17.1,"Hip.","04","SF","Térreo","AFN","L","Dorm. S","Curitiba"
50.8,10.4,9.2,4.9,5.9,5.1,11.1,26.9,-4.3,2.5,0,-78.8,2.8,15.9,0,84.1,29.7,17.7,"Hip.","04","SF","Térreo","AFN","L","Sala","Curitiba"
36.3,19.3,12,13.9,11,8.3,8.5,41.6,-4,2.5,0,-122.7,3.6,0,0.1,99.9,30.9,17.5,"Hip.","04","SF","Térreo","AFN","NE","Dorm. 1","Curitiba"
36.4,20.2,12.5,10.8,13.2,5.9,15,45,-3.7,2.5,0,-128.9,3.9,0,0.1,99.9,30.8,17.4,"Hip.","04","SF","Térreo","AFN","NE","Dorm. 2","Curitiba"
39,17.3,12.9,11.1,7.7,6.1,7.6,32.5,-3.8,3,0,-95.7,3.3,22.5,0,77.5,30.8,17.9,"Hip.","04","SF","Térreo","AFN","NE","Sala","Curitiba"
36.3,19.4,12,13.9,8.7,8.3,10.7,41.6,-4,2.6,0,-123.2,3.6,0,0.1,99.9,30.9,17.5,"Hip.","04","SF","Térreo","AFN","NO","Dorm. 1","Curitiba"
36.4,20.2,12.5,10.9,15.6,5.9,12.7,45,-3.7,2.5,0,-128.8,3.9,0,0.1,99.9,30.8,17.4,"Hip.","04","SF","Térreo","AFN","NO","Dorm. 2","Curitiba"
39,17.3,12.9,11.1,7.8,6.1,7.5,32.5,-3.8,3,0,-95.7,3.3,22.5,0,77.5,30.8,17.9,"Hip.","04","SF","Térreo","AFN","NO","Sala","Curitiba"
36.7,8.2,6.1,2.9,5.4,7.1,4.3,19.7,-4.7,1.2,0,-79.8,2.8,0,0.6,99.4,28.6,16.8,"Hip.","04","SF","Térreo","AFN","SE","Dorm. 1","Curitiba"
36.7,8.6,6.4,2.1,6.5,5.6,7.5,21.8,-4.4,1.3,0,-83.2,3,0,0.2,99.8,28.4,17.4,"Hip.","04","SF","Térreo","AFN","SE","Dorm. 2","Curitiba"
40.4,6.7,6.4,2.2,3.8,5.7,3.8,15.5,-4.6,1.4,0,-57,2.5,7.6,0.1,92.3,28.7,17.3,"Hip.","04","SF","Térreo","AFN","SE","Sala","Curitiba"
36.7,8.4,6.1,2.9,4.4,7.2,5.5,20,-4.7,1.2,0,-80.3,2.8,0,0.5,99.5,28.7,16.9,"Hip.","04","SF","Térreo","AFN","SO","Dorm. 1","Curitiba"
