"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
-1.3,-2,-2,-0.7,-3.8,-3.1,-3,-10.5,-1.3,-0.1,-0.1,-33.9,-0.9,1.8,-0.3,-1.4,0.6,0.2,"Hip.","04","TV","Intermediário","AFN","L","Dorm. N","Curitiba"
-1,-3.6,-0.4,-1.7,-2.4,-1,-3.7,-8.8,-0.7,-0.2,0,-20,-1,0.8,0.4,-1.1,0.7,-0.3,"Hip.","04","TV","Intermediário","AFN","L","Dorm. S","Curitiba"
-0.1,0.9,0.7,0.3,0.3,0.1,2.6,3.1,0.1,-1.9,0,0.7,0,1.6,0.4,-2,0.4,-0.3,"Hip.","04","TV","Intermediário","AFN","L","Sala","Curitiba"
-0.7,3,0.2,3.2,0.8,-0.6,0.9,4.2,-0.7,0.3,-0.1,-24.6,0.2,2.4,-0.5,-1.9,1,-0.3,"Hip.","04","TV","Intermediário","AFN","NE","Dorm. 1","Curitiba"
-0.4,3.6,0.9,3.4,2.1,-0.2,1.2,6.6,-0.4,0.4,-0.1,-34.4,0.6,2,-0.1,-2.1,0.8,0.4,"Hip.","04","TV","Intermediário","AFN","NE","Dorm. 2","Curitiba"
-0.4,5.1,1.2,5.9,1.6,0.3,0.9,8.8,-0.3,-0.9,0,-10.3,0.2,5.3,0,-5.3,0.6,0.2,"Hip.","04","TV","Intermediário","AFN","NE","Sala","Curitiba"
-0.6,2.9,0.2,3.2,0.9,-0.7,0.6,4.1,-0.7,0.3,-0.1,-24.9,0.2,2.5,-0.4,-2.1,1.1,-0.2,"Hip.","04","TV","Intermediário","AFN","NO","Dorm. 1","Curitiba"
-0.4,3.7,0.9,3.4,1.3,-0.2,2,6.7,-0.4,0.4,-0.1,-34.1,0.6,2,0,-2.1,0.8,0.2,"Hip.","04","TV","Intermediário","AFN","NO","Dorm. 2","Curitiba"
-0.4,5.1,1.2,6,0.9,0.3,1.6,8.8,-0.3,-0.9,0,-10.3,0.1,5.3,0,-5.3,0.6,0.3,"Hip.","04","TV","Intermediário","AFN","NO","Sala","Curitiba"
-0.3,-1.9,-0.5,-0.4,-1.3,-4,-0.4,-6,-0.1,-0.1,0,-1.2,-0.1,0.2,1.6,-1.8,0.5,-0.9,"Hip.","04","TV","Intermediário","AFN","SE","Dorm. 1","Curitiba"
-0.1,-0.8,0.1,0.1,0.2,-2.2,-0.9,-2.9,0,0.1,0,-7.9,0.3,0,1,-1.2,0.3,-0.4,"Hip.","04","TV","Intermediário","AFN","SE","Dorm. 2","Curitiba"
0.1,-0.4,0.5,0.3,-0.3,-0.1,0,0,0.2,-1.1,0,1.7,0,0,0.2,-0.1,0.2,-0.5,"Hip.","04","TV","Intermediário","AFN","SE","Sala","Curitiba"
-0.3,-1.9,-0.5,-0.4,-0.4,-4,-1.4,-6.2,-0.1,0,0,-1.1,-0.2,0.3,1.7,-1.9,0.5,-0.9,"Hip.","04","TV","Intermediário","AFN","SO","Dorm. 1","Curitiba"
-0.1,-0.8,0.1,0.1,-0.9,-2.2,0.1,-2.9,0,0.1,0,-7.9,0.3,0,1,-1.2,0.3,-0.4,"Hip.","04","TV","Intermediário","AFN","SO","Dorm. 2","Curitiba"
0.1,-0.4,0.4,0.3,0,-0.1,-0.3,-0.1,0.2,-1.1,0,1.8,0,0,0.2,-0.1,0.2,-0.5,"Hip.","04","TV","Intermediário","AFN","SO","Sala","Curitiba"
-1.5,-2.7,-2.1,-0.7,-3.4,-3.5,-4.4,-12.1,-1.5,-0.1,-0.1,-42.5,-0.9,3.4,-0.4,-3,1,0.2,"Hip.","04","TV","Intermediário","AFN","O","Dorm. N","Curitiba"
-1.3,-4.2,-0.6,-2.2,-4.1,-1.1,-3,-10.3,-0.9,-0.2,0,-28.2,-1,2.2,0,-2.3,0.8,-0.1,"Hip.","04","TV","Intermediário","AFN","O","Dorm. S","Curitiba"
-0.1,2.6,0.3,0.4,5.2,0.3,0.4,6.3,0,-2.1,0,-1.7,0,0.7,0.3,-1,0.5,-0.2,"Hip.","04","TV","Intermediário","AFN","O","Sala","Curitiba"
-4.2,-6.1,-4.2,-2.8,-7.7,-6.1,-6.7,-23.4,-2.6,-0.6,0,-40,-3.9,15.9,0,-15.9,1.3,0.6,"Hip.","04","TV","Intermediário","AFN","L","Dorm. N","Rio de Janeiro"
-3,-6.1,-1.8,-3.5,-4.5,-2,-6.3,-16.2,-1.5,-0.4,0,-43.5,-2.5,9.6,0,-9.6,1.3,0.2,"Hip.","04","TV","Intermediário","AFN","L","Dorm. S","Rio de Janeiro"
0,1.4,0.9,0.4,0.4,0.1,3.8,4.7,0.1,-2.7,0,-1.4,0,-1.2,0,1.2,0.3,-0.3,"Hip.","04","TV","Intermediário","AFN","L","Sala","Rio de Janeiro"
-1.3,4,0.3,4.1,2,-0.6,0.9,6.3,-0.8,0.3,0,-20.2,0,7.5,0,-7.5,1.2,0.1,"Hip.","04","TV","Intermediário","AFN","NE","Dorm. 1","Rio de Janeiro"
-0.8,4.4,1,4,2.1,-0.2,2,8,-0.5,0.4,0,-32.5,0.6,5.4,0,-5.4,1.2,0.2,"Hip.","04","TV","Intermediário","AFN","NE","Dorm. 2","Rio de Janeiro"
-0.5,5.8,1.1,6.7,1.8,0.1,1,9.7,-0.4,-1,0,-14.3,0.2,1,0,-1,1.1,0.2,"Hip.","04","TV","Intermediário","AFN","NE","Sala","Rio de Janeiro"
-1.3,4,0.4,4.1,0.9,-0.6,2,6.3,-0.8,0.2,0,-20.2,0,7.5,0,-7.5,1.1,0.1,"Hip.","04","TV","Intermediário","AFN","NO","Dorm. 1","Rio de Janeiro"
-0.9,4.4,1,4,2,-0.2,2.1,7.9,-0.5,0.4,0,-32.4,0.6,5.4,0,-5.4,1.2,0.2,"Hip.","04","TV","Intermediário","AFN","NO","Dorm. 2","Rio de Janeiro"
-0.5,5.8,1.1,6.7,1,0.1,1.8,9.7,-0.4,-1,0,-14.5,0.2,1,0,-1,1.1,0.2,"Hip.","04","TV","Intermediário","AFN","NO","Sala","Rio de Janeiro"
-0.3,-2.3,-0.7,-0.4,-1,-4.6,-0.5,-6.6,-0.1,-0.1,0,1.3,-0.2,-0.8,0,0.8,0.6,-0.2,"Hip.","04","TV","Intermediário","AFN","SE","Dorm. 1","Rio de Janeiro"
0,-1.2,-0.1,0,-0.1,-2.7,-1.1,-3.9,0.1,0,0,-7.1,0.3,-2,0,2,0.4,-0.1,"Hip.","04","TV","Intermediário","AFN","SE","Dorm. 2","Rio de Janeiro"
0.1,-0.8,0.1,0.3,-0.5,-0.6,-0.1,-1,0.3,-1.4,0,4,-0.2,-3,0,3,0.3,-0.4,"Hip.","04","TV","Intermediário","AFN","SE","Sala","Rio de Janeiro"
-0.3,-2.3,-0.6,-0.3,-0.6,-4.7,-0.9,-6.5,0,-0.1,0,1.4,-0.2,-0.8,0,0.8,0.6,-0.2,"Hip.","04","TV","Intermediário","AFN","SO","Dorm. 1","Rio de Janeiro"
0,-1.2,-0.2,0,-1.1,-2.7,-0.1,-4,0.1,0,0,-7.1,0.3,-2,0,2,0.4,-0.1,"Hip.","04","TV","Intermediário","AFN","SO","Dorm. 2","Rio de Janeiro"
0.1,-0.8,0,0.3,-0.1,-0.6,-0.5,-1.1,0.3,-1.4,0,3.9,-0.2,-3,0,3,0.3,-0.5,"Hip.","04","TV","Intermediário","AFN","SO","Sala","Rio de Janeiro"
-4.3,-6.5,-3.8,-3.1,-6.8,-6,-7.3,-23.2,-2.6,-0.7,0,-42.6,-3.8,15.8,0,-15.8,1.1,0.7,"Hip.","04","TV","Intermediário","AFN","O","Dorm. N","Rio de Janeiro"
-3.1,-6.6,-1.6,-3.2,-6,-2.2,-4.2,-15.6,-1.4,-0.5,0,-46.1,-2.5,9.4,0,-9.4,1.1,0.2,"Hip.","04","TV","Intermediário","AFN","O","Dorm. S","Rio de Janeiro"
0.1,1.3,0.2,0.2,3.9,0,0.4,4.5,0.2,-2.9,0,-0.7,0,-1.8,0,1.8,0.1,-0.4,"Hip.","04","TV","Intermediário","AFN","O","Sala","Rio de Janeiro"
-2.7,-4,-2.8,-1.3,-5.6,-4.5,-4.8,-16.3,-1.9,-0.2,0,-48.7,-1.9,16.4,0,-16.3,1,-0.2,"Hip.","04","TV","Intermediário","AFN","L","Dorm. N","São Paulo"
-2.2,-5.8,-1.6,-3.4,-4.4,-2.1,-6,-15.8,-1.4,-0.5,0,-21.8,-3,11.1,-0.1,-10.9,0.7,-0.3,"Hip.","04","TV","Intermediário","AFN","L","Dorm. S","São Paulo"
-0.1,1.5,1.1,0.3,0.5,0.2,3.7,4.7,0,-2.3,0,-1.7,0,0.1,0.3,-0.4,0.8,-0.6,"Hip.","04","TV","Intermediário","AFN","L","Sala","São Paulo"
-1,3.2,0.5,3.7,0.9,-0.9,0.9,4.7,-0.9,0.2,0,-22,0,9.4,0.1,-9.4,1.8,-0.5,"Hip.","04","TV","Intermediário","AFN","NE","Dorm. 1","São Paulo"
-0.6,3.9,1.2,3.8,2.2,-0.3,1.4,7.1,-0.6,0.4,0,-34,0.5,7,0.2,-7.2,1.8,-0.3,"Hip.","04","TV","Intermediário","AFN","NE","Dorm. 2","São Paulo"
-0.5,5.5,1.6,6.4,1.8,0.2,1.1,9.4,-0.5,-1,0,-12,0.1,3.7,0,-3.7,2.1,-0.2,"Hip.","04","TV","Intermediário","AFN","NE","Sala","São Paulo"
-1,3.2,0.4,3.6,0.9,-0.9,1,4.6,-0.9,0.3,0,-22.1,0,9.3,0.1,-9.4,1.8,-0.5,"Hip.","04","TV","Intermediário","AFN","NO","Dorm. 1","São Paulo"
-0.6,3.9,1.2,3.8,1.4,-0.3,2.1,7.1,-0.6,0.4,0,-34,0.5,7,0.1,-7.2,1.8,-0.2,"Hip.","04","TV","Intermediário","AFN","NO","Dorm. 2","São Paulo"
-0.5,5.5,1.6,6.5,1,0.2,1.8,9.4,-0.5,-0.9,0,-12.1,0.1,3.7,0,-3.7,2.1,-0.2,"Hip.","04","TV","Intermediário","AFN","NO","Sala","São Paulo"
-0.3,-1.9,-0.5,-0.4,-1,-4,-0.4,-5.9,-0.2,-0.1,0,-1.1,-0.2,3.5,0.4,-3.8,0.5,-0.8,"Hip.","04","TV","Intermediário","AFN","SE","Dorm. 1","São Paulo"
-0.1,-0.8,0.1,0,0.2,-2.3,-0.9,-3.1,0,0,0,-9.1,0.3,1.4,0.1,-1.5,0.5,-0.3,"Hip.","04","TV","Intermediário","AFN","SE","Dorm. 2","São Paulo"
0,-0.3,0.5,0.3,-0.3,-0.1,0,-0.1,0.2,-1.2,0,1.9,-0.1,-0.1,0,0.1,0.4,-0.3,"Hip.","04","TV","Intermediário","AFN","SE","Sala","São Paulo"
