"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
-2.7,-7.4,-16.3,-5.6,-58.5,-44.9,-16.1,-23.6,-38.2,-3.4,-100,-31.5,-19.6,257.1,-5.9,-1.5,1.9,1.3,"Hip.","04","TV","Intermediário","AFN","L","Dorm. N","Curitiba"
-2.1,-25.5,-10.5,-65.4,-126.3,-11.2,-44.6,-53.3,-13,-9.5,NA,-21,-23.3,160,5.2,-1.2,2.3,-2.1,"Hip.","04","TV","Intermediário","AFN","L","Dorm. S","Curitiba"
-0.2,3.6,5.9,5.2,6.5,1.3,18.6,9.7,2.5,-36.5,NA,0.8,0,6.8,200,-2.6,1.3,-1.9,"Hip.","04","TV","Intermediário","AFN","L","Sala","Curitiba"
-1.9,10.9,1.5,21.3,6.8,-11.1,8,9.7,-16.7,10.7,-100,-18.2,5.3,200,-55.6,-1.9,3.2,-1.8,"Hip.","04","TV","Intermediário","AFN","NE","Dorm. 1","Curitiba"
-1.1,12.6,6.2,29.3,12.6,-5.3,6.3,13,-9.5,14.3,-100,-25,16.2,125,-100,-2.1,2.6,2.3,"Hip.","04","TV","Intermediário","AFN","NE","Dorm. 2","Curitiba"
-1,16.8,7.8,59.6,18.4,6.2,9.6,26.9,-7,-19.6,NA,-9.9,6.2,17,NA,-7.7,1.9,1.2,"Hip.","04","TV","Intermediário","AFN","NE","Sala","Curitiba"
-1.7,10.4,1.4,21.2,7.9,-12.7,5,9.3,-16.7,10.3,-100,-18.4,5.3,208.3,-44.4,-2.1,3.5,-1.2,"Hip.","04","TV","Intermediário","AFN","NO","Dorm. 1","Curitiba"
-1.1,12.9,6.2,29.3,6.8,-5.3,12.1,13.2,-9.5,14.3,-100,-24.8,16.2,125,0,-2.1,2.6,1.2,"Hip.","04","TV","Intermediário","AFN","NO","Dorm. 2","Curitiba"
-1,16.8,7.8,61.2,9.5,6.2,18.6,26.9,-7,-19.6,NA,-9.9,3.1,17,NA,-7.7,1.9,1.7,"Hip.","04","TV","Intermediário","AFN","NO","Sala","Curitiba"
-0.8,-12.8,-7,-40,-17.3,-30.8,-6,-23,-2,-6.3,NA,-1.2,-3.2,100,32,-1.9,1.7,-5.6,"Hip.","04","TV","Intermediário","AFN","SE","Dorm. 1","Curitiba"
-0.3,-5.2,1.3,12.5,2.1,-22.2,-8.4,-9.9,0,6.2,NA,-8.1,10,0,27.8,-1.2,1,-2.4,"Hip.","04","TV","Intermediário","AFN","SE","Dorm. 2","Curitiba"
0.3,-2.5,6.5,60,-5.7,-1.2,0,0,3.9,-39.3,NA,2.7,0,0,50,-0.1,0.7,-3.1,"Hip.","04","TV","Intermediário","AFN","SE","Sala","Curitiba"
-0.8,-12.7,-6.9,-40,-5.9,-30.5,-17.5,-23,-2,0,NA,-1.1,-6.3,150,35.4,-2,1.7,-5.6,"Hip.","04","TV","Intermediário","AFN","SO","Dorm. 1","Curitiba"
-0.3,-5.2,1.3,12.5,-8.4,-22.2,1,-9.9,0,6.2,NA,-8.1,10,0,27.8,-1.2,1,-2.4,"Hip.","04","TV","Intermediário","AFN","SO","Dorm. 2","Curitiba"
0.3,-2.5,5.1,60,0,-1.2,-5.7,-0.6,3.9,-39.3,NA,2.8,0,0,50,-0.1,0.7,-3.1,"Hip.","04","TV","Intermediário","AFN","SO","Sala","Curitiba"
-3.2,-9.5,-16.2,-5,-17.8,-50,-43.1,-24,-42.9,-3,-100,-35.7,-18.7,170,-8.3,-3.2,3.1,1.3,"Hip.","04","TV","Intermediário","AFN","O","Dorm. N","Curitiba"
-2.7,-27.5,-13.3,-104.8,-47.1,-10.6,-53.6,-45.6,-16.4,-8,NA,-26.3,-22.2,157.1,0,-2.5,2.5,-0.7,"Hip.","04","TV","Intermediário","AFN","O","Dorm. S","Curitiba"
-0.2,8.1,1.9,5.6,31.7,3.4,4.2,15,0,-33.9,NA,-1.8,0,2.1,60,-1.5,1.5,-1.3,"Hip.","04","TV","Intermediário","AFN","O","Sala","Curitiba"
-11.3,-17.4,-26.2,-16.8,-52,-50.4,-27,-34.2,-162.5,-15.4,NA,-38.2,-48.1,27.3,NA,-38.1,3.5,3.1,"Hip.","04","TV","Intermediário","AFN","L","Dorm. N","Rio de Janeiro"
-8.1,-34.1,-29.5,-388.9,-51.1,-17.5,-57.3,-50.5,-38.5,-14.8,NA,-53.9,-37.9,18.5,NA,-20,3.5,1.1,"Hip.","04","TV","Intermediário","AFN","L","Dorm. S","Rio de Janeiro"
0,4,5.3,4.6,3.4,0.9,19.1,9.3,6.7,-36,NA,-1.5,0,-1.4,NA,8.7,0.8,-1.5,"Hip.","04","TV","Intermediário","AFN","L","Sala","Rio de Janeiro"
-4.9,13.4,2,25.6,16.1,-7.6,7.4,13,-25,9.7,NA,-15.3,0,10.1,NA,-29.2,3.3,0.5,"Hip.","04","TV","Intermediário","AFN","NE","Dorm. 1","Rio de Janeiro"
-3.1,14.4,6.4,32.8,11.8,-3.6,9.8,14.3,-15.2,13.3,NA,-24.8,15,6.9,NA,-24.4,3.3,1,"Hip.","04","TV","Intermediário","AFN","NE","Dorm. 2","Rio de Janeiro"
-1.7,17.3,6.4,62,18.6,1.4,9.3,25.5,-12.5,-19.2,NA,-12.4,5.9,1.1,NA,-20.4,3,1,"Hip.","04","TV","Intermediário","AFN","NE","Sala","Rio de Janeiro"
-4.9,13.5,2.7,25.8,7.4,-7.6,16.5,13.1,-25,6.2,NA,-15.3,0,10.1,NA,-29.2,3,0.5,"Hip.","04","TV","Intermediário","AFN","NO","Dorm. 1","Rio de Janeiro"
-3.4,14.4,6.4,32.8,9.7,-3.6,11.9,14.1,-15.2,13.3,NA,-24.8,15,6.9,NA,-24.4,3.3,1,"Hip.","04","TV","Intermediário","AFN","NO","Dorm. 2","Rio de Janeiro"
-1.7,17.3,6.4,62,9.3,1.4,18.8,25.5,-12.5,-19.2,NA,-12.6,5.9,1.1,NA,-20.4,3,1,"Hip.","04","TV","Intermediário","AFN","NO","Sala","Rio de Janeiro"
-1.1,-13.9,-8.1,-23.5,-11.4,-30.9,-6.7,-20.1,-2.9,-5.6,NA,1.3,-5.1,-1.4,NA,1.9,1.6,-1,"Hip.","04","TV","Intermediário","AFN","SE","Dorm. 1","Rio de Janeiro"
0,-7.3,-1.1,0,-1,-24.3,-9.3,-11.3,2.9,0,NA,-7.3,8.1,-3.4,NA,4.9,1.1,-0.5,"Hip.","04","TV","Intermediário","AFN","SE","Dorm. 2","Rio de Janeiro"
0.3,-4.6,1.1,21.4,-8.2,-6.3,-1.7,-4.4,8.3,-42.4,NA,5.9,-6.7,-3.9,NA,13.2,0.8,-2,"Hip.","04","TV","Intermediário","AFN","SE","Sala","Rio de Janeiro"
-1.1,-14,-7.1,-18.8,-8,-31.5,-10.6,-20,0,-5.6,NA,1.4,-5.1,-1.4,NA,1.9,1.7,-1,"Hip.","04","TV","Intermediário","AFN","SO","Dorm. 1","Rio de Janeiro"
0,-7.3,-2.3,0,-9.3,-24.3,-1,-11.6,2.9,0,NA,-7.3,8.1,-3.4,NA,4.9,1.1,-0.5,"Hip.","04","TV","Intermediário","AFN","SO","Dorm. 2","Rio de Janeiro"
0.3,-4.6,0,21.4,-1.7,-6.3,-8.2,-4.8,8.3,-42.4,NA,5.7,-6.7,-3.9,NA,13.2,0.8,-2.5,"Hip.","04","TV","Intermediário","AFN","SO","Sala","Rio de Janeiro"
-11.7,-18.3,-22.9,-18,-26.7,-46.5,-45.9,-32.4,-216.7,-17.1,NA,-39.2,-46.9,26.5,NA,-39.2,3,3.7,"Hip.","04","TV","Intermediário","AFN","O","Dorm. N","Rio de Janeiro"
-8.4,-36.3,-22.5,-177.8,-50.8,-18.3,-42.9,-44.1,-38.9,-17.2,NA,-54.6,-37.9,17.6,NA,-20.2,2.9,1.1,"Hip.","04","TV","Intermediário","AFN","O","Dorm. S","Rio de Janeiro"
0.3,3.4,1.1,2.2,18.5,0,3,8.2,15.4,-36.7,NA,-0.7,0,-2,NA,15.7,0.3,-2,"Hip.","04","TV","Intermediário","AFN","O","Sala","Rio de Janeiro"
-6.2,-13.2,-20.4,-9.1,-54.4,-51.7,-22.7,-30,-67.9,-6.1,NA,-49.2,-31.1,103.8,0,-19.6,2.9,-1.3,"Hip.","04","TV","Intermediário","AFN","L","Dorm. N","São Paulo"
-5,-33.3,-28.6,-Inf,-66.7,-18.8,-55.6,-55.4,-31.8,-18.5,NA,-21,-43.5,73.5,-7.1,-13.1,2.1,-1.9,"Hip.","04","TV","Intermediário","AFN","L","Dorm. S","São Paulo"
-0.2,4.9,7.5,4.1,6,2.2,21.5,11.1,0,-35.9,NA,-2,0,0.2,Inf,-0.9,2.4,-3.7,"Hip.","04","TV","Intermediário","AFN","L","Sala","São Paulo"
-3.1,11.4,3.6,24.3,7.4,-14.5,7.8,10.4,-23.7,6.7,NA,-16.2,0,37,50,-12.7,5.2,-2.9,"Hip.","04","TV","Intermediário","AFN","NE","Dorm. 1","São Paulo"
-1.9,13.5,8.2,32.8,12.9,-7,7.2,13.6,-15.8,13.8,NA,-25.1,12.2,24.1,Inf,-10.2,5.1,-1.7,"Hip.","04","TV","Intermediário","AFN","NE","Dorm. 2","São Paulo"
-1.4,17.9,10.3,64.6,20.5,3.7,11.3,27.7,-12.8,-20.8,NA,-11.5,3,5.6,NA,-10.8,6,-1.1,"Hip.","04","TV","Intermediário","AFN","NE","Sala","São Paulo"
-3.1,11.4,2.9,23.7,7.8,-14.5,8.4,10.2,-23.7,10,NA,-16.3,0,36.5,50,-12.7,5.2,-2.9,"Hip.","04","TV","Intermediário","AFN","NO","Dorm. 1","São Paulo"
-1.9,13.5,8.2,32.8,7.2,-7,12.4,13.6,-15.8,13.8,NA,-25.1,12.2,24.1,Inf,-10.2,5.1,-1.1,"Hip.","04","TV","Intermediário","AFN","NO","Dorm. 2","São Paulo"
-1.4,17.9,10.3,65.7,10.2,3.7,20.5,27.7,-12.8,-19.1,NA,-11.6,3,5.6,NA,-10.8,6,-1.1,"Hip.","04","TV","Intermediário","AFN","NO","Sala","São Paulo"
-0.9,-11.7,-6.2,-57.1,-12,-28.4,-5.4,-19.3,-5,-5.6,NA,-1.1,-5.3,19.3,133.3,-4.7,1.5,-4.7,"Hip.","04","TV","Intermediário","AFN","SE","Dorm. 1","São Paulo"
-0.3,-4.8,1.2,0,1.9,-21.5,-7.8,-9.4,0,0,NA,-9,8.3,6.9,50,-1.9,1.5,-1.7,"Hip.","04","TV","Intermediário","AFN","SE","Dorm. 2","São Paulo"
0,-1.8,5.9,42.9,-5.2,-1.1,0,-0.5,4.7,-38.7,NA,2.8,-3.7,-0.2,NA,0.2,1.2,-1.8,"Hip.","04","TV","Intermediário","AFN","SE","Sala","São Paulo"
-0.9,-11.2,-5.1,-57.1,-4.1,-28.4,-12.2,-19.4,-5,-5.6,NA,-1,-5.3,18.8,133.3,-4.7,1.9,-4.7,"Hip.","04","TV","Intermediário","AFN","SO","Dorm. 1","São Paulo"
-0.3,-4.8,1.2,0,-7.8,-21.5,1.9,-9.4,0,0,NA,-9,8.3,6.9,50,-1.9,1.5,-1.7,"Hip.","04","TV","Intermediário","AFN","SO","Dorm. 2","São Paulo"
