"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
46.1,25.2,10.3,11.9,2.7,3.8,15.6,34,-4.7,2.8,0,-141.6,3.7,2.5,4.8,92.8,31.8,15.3,"Hip.","04","TV","Intermediário","AFN","L","Dorm. N","Curitiba"
46.6,10.5,3.4,-4.3,-0.5,7.9,4.6,7.7,-6.1,1.9,0,-115.4,3.3,1.3,8.1,90.6,31.6,14.3,"Hip.","04","TV","Intermediário","AFN","L","Dorm. S","Curitiba"
50.2,26.1,12.5,6.1,4.9,7.7,16.6,35.2,-3.9,3.3,0,-82.7,2.8,25.1,0.6,74.3,31.5,15.3,"Hip.","04","TV","Intermediário","AFN","L","Sala","Curitiba"
35.3,30.6,13.9,18.2,12.5,4.8,12.2,47.6,-4.9,3.1,0,-159.5,4,3.6,0.4,96,32.3,16.7,"Hip.","04","TV","Intermediário","AFN","NE","Dorm. 1","Curitiba"
35.4,32.2,15.4,15,18.8,3.6,20.1,57.5,-4.6,3.2,0,-172,4.3,3.6,0,96.3,32.1,17.6,"Hip.","04","TV","Intermediário","AFN","NE","Dorm. 2","Curitiba"
38.1,35.5,16.5,15.8,10.3,5.1,10.3,41.5,-4.6,3.7,0,-114.3,3.4,36.5,0,63.5,32.1,17.4,"Hip.","04","TV","Intermediário","AFN","NE","Sala","Curitiba"
35.3,30.7,14,18.3,12.3,4.8,12.7,48.1,-4.9,3.2,0,-160.3,4,3.7,0.5,95.8,32.4,16.8,"Hip.","04","TV","Intermediário","AFN","NO","Dorm. 1","Curitiba"
35.4,32.3,15.4,15,20.4,3.6,18.5,57.6,-4.6,3.2,0,-171.8,4.3,3.6,0.1,96.3,32.1,17.4,"Hip.","04","TV","Intermediário","AFN","NO","Dorm. 2","Curitiba"
38.1,35.5,16.5,15.8,10.4,5.1,10.2,41.5,-4.6,3.7,0,-114.3,3.3,36.5,0,63.5,32.1,17.5,"Hip.","04","TV","Intermediário","AFN","NO","Sala","Curitiba"
36.1,13,6.6,-1.4,6.2,9,6.3,20.1,-5,1.5,0,-98.5,3,0.4,6.6,93,30.3,15.1,"Hip.","04","TV","Intermediário","AFN","SE","Dorm. 1","Curitiba"
36.2,14.5,7.7,-0.7,9.8,7.7,9.8,26.5,-4.8,1.7,0,-106,3.3,0.3,4.6,95,30,16.1,"Hip.","04","TV","Intermediário","AFN","SE","Dorm. 2","Curitiba"
40.1,15.3,8.2,-0.2,5,8.1,5.1,18,-4.9,1.7,0,-61.6,2.4,13.6,0.6,85.9,30.5,15.7,"Hip.","04","TV","Intermediário","AFN","SE","Sala","Curitiba"
36.1,13.1,6.7,-1.4,6.4,9.1,6.6,20.7,-5,1.6,0,-99.2,3,0.5,6.5,93,30.3,15.2,"Hip.","04","TV","Intermediário","AFN","SO","Dorm. 1","Curitiba"
36.2,14.5,7.7,-0.7,9.8,7.7,9.7,26.5,-4.8,1.7,0,-106,3.3,0.3,4.6,95,30,16.1,"Hip.","04","TV","Intermediário","AFN","SO","Dorm. 2","Curitiba"
40.1,15.3,8.2,-0.2,5.1,8.1,5,18,-4.9,1.7,0,-61.6,2.4,13.6,0.6,85.9,30.5,15.7,"Hip.","04","TV","Intermediário","AFN","SO","Sala","Curitiba"
45.6,25.8,10.9,13.3,15.7,3.5,5.8,38.3,-5,3.2,0,-161.5,3.9,5.4,4.4,90.2,33,15.4,"Hip.","04","TV","Intermediário","AFN","O","Dorm. N","Curitiba"
