"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
-1.3,-3.3,-3.3,-1.7,-3.8,-3.1,-3.6,-12.3,-1.1,-0.4,0,-23.6,-1.6,2.4,0.4,-2.8,0.6,-0.4,"Hip.","04","TV","Cobertura","AFN","L","Dorm. N","Curitiba"
-1.1,-3.8,-2.5,-2.2,-2.9,-1.8,-4.1,-11,-0.7,-0.4,0,-15.1,-1.7,1.9,1.4,-3.3,0.7,-0.7,"Hip.","04","TV","Cobertura","AFN","L","Dorm. S","Curitiba"
-0.1,0.1,0.1,0,0.2,0,1.9,2.1,0.1,-2.1,0,0.5,-0.1,1.2,1,-2.2,0.5,-0.8,"Hip.","04","TV","Cobertura","AFN","L","Sala","Curitiba"
-0.4,0.4,-0.4,1.8,0.7,-0.3,0.2,2.4,-0.4,0.1,-0.1,-10.5,0,2,0.4,-2.4,0.8,-0.8,"Hip.","04","TV","Cobertura","AFN","NE","Dorm. 1","Curitiba"
-0.2,0.1,0,2.1,0.9,0,0.6,3.7,-0.2,0.1,-0.1,-18.3,0.3,1.5,0.5,-2.1,0.7,-0.7,"Hip.","04","TV","Cobertura","AFN","NE","Dorm. 2","Curitiba"
-0.2,0.7,0.2,4.3,1,0.1,0.4,5.8,-0.1,-1.1,0,-6.1,0.1,4,0.7,-4.7,0.7,-0.7,"Hip.","04","TV","Cobertura","AFN","NE","Sala","Curitiba"
-0.5,0.3,-0.4,1.9,0.2,-0.4,0.6,2.3,-0.4,0,-0.1,-10.6,0,2,0.4,-2.4,0.9,-0.8,"Hip.","04","TV","Cobertura","AFN","NO","Dorm. 1","Curitiba"
-0.2,0.1,0,2.1,0.7,0,0.9,3.9,-0.1,0.2,-0.1,-18.2,0.3,1.5,0.5,-2.1,0.7,-0.7,"Hip.","04","TV","Cobertura","AFN","NO","Dorm. 2","Curitiba"
-0.2,0.7,0.2,4.3,0.4,0.1,1,5.8,-0.1,-1.1,0,-6.1,0.1,3.9,0.7,-4.6,0.7,-0.7,"Hip.","04","TV","Cobertura","AFN","NO","Sala","Curitiba"
-0.3,-1,-0.4,-0.3,-0.8,-3.4,-0.4,-4.9,-0.1,-0.1,0,-1,-0.1,1,2.6,-3.6,0.5,-1.1,"Hip.","04","TV","Cobertura","AFN","SE","Dorm. 1","Curitiba"
-0.1,-0.2,0,0.1,0,-1.9,-0.6,-2.4,0.1,0,0,-7.8,0.2,0.8,2.3,-3,0.5,-1,"Hip.","04","TV","Cobertura","AFN","SE","Dorm. 2","Curitiba"
0.1,-0.2,0.2,0.3,-0.2,0.1,0,0.1,0.2,-1.1,0,1.3,-0.1,0.8,1.5,-2.3,0.4,-1,"Hip.","04","TV","Cobertura","AFN","SE","Sala","Curitiba"
-0.3,-1,-0.4,-0.2,-0.4,-3.5,-0.9,-5,-0.1,-0.1,0,-0.9,-0.1,1,2.7,-3.7,0.5,-1.1,"Hip.","04","TV","Cobertura","AFN","SO","Dorm. 1","Curitiba"
-0.1,-0.2,0,0.1,-0.6,-1.9,0,-2.3,0.1,0,0,-7.7,0.2,0.8,2.3,-3,0.5,-1,"Hip.","04","TV","Cobertura","AFN","SO","Dorm. 2","Curitiba"
0.1,-0.3,0.2,0.3,0,0.1,-0.2,0.1,0.2,-1.1,0,1.3,-0.1,0.8,1.6,-2.3,0.4,-1,"Hip.","04","TV","Cobertura","AFN","SO","Sala","Curitiba"
-1.5,-4.2,-3.4,-1.7,-3.9,-3.4,-4.3,-13.2,-1.3,-0.4,0,-29.8,-1.5,3.6,0.3,-3.9,0.7,-0.4,"Hip.","04","TV","Cobertura","AFN","O","Dorm. N","Curitiba"
-1.3,-4.6,-2.7,-2.4,-4.5,-1.9,-3.2,-12,-0.8,-0.4,0,-20.8,-1.6,3.1,1,-4.1,0.8,-0.7,"Hip.","04","TV","Cobertura","AFN","O","Dorm. S","Curitiba"
-0.1,1.5,0.4,0.3,4.4,0.2,0.5,5.3,0.1,-2.2,-0.1,-2.4,0,1.2,0.7,-1.9,0.8,-0.8,"Hip.","04","TV","Cobertura","AFN","O","Sala","Curitiba"
-4.2,-7.6,-6.6,-4.3,-8,-6.2,-7.9,-26.2,-2.4,-1,0,-28.2,-5.6,13.5,0,-13.5,1.1,0.3,"Hip.","04","TV","Cobertura","AFN","L","Dorm. N","Rio de Janeiro"
-3.3,-6.5,-4.8,-4.2,-5.4,-3.2,-6.9,-19.7,-1.6,-0.7,0,-36.5,-3.9,9.9,0,-9.9,1.1,-0.1,"Hip.","04","TV","Cobertura","AFN","L","Dorm. S","Rio de Janeiro"
-0.1,1.3,0.4,0.2,0.4,0.2,3,3.8,0.1,-3,0,-2.4,0.1,-0.7,0,0.7,0.4,-0.3,"Hip.","04","TV","Cobertura","AFN","L","Sala","Rio de Janeiro"
-0.7,1.5,-0.4,2.6,2,-0.2,0.4,4.7,-0.4,0.1,0,-8.3,-0.1,3.8,0,-3.8,0.4,-0.1,"Hip.","04","TV","Cobertura","AFN","NE","Dorm. 1","Rio de Janeiro"
-0.3,1.1,0.1,2.7,1.1,0,1.4,5.3,-0.1,0.2,0,-18.5,0.4,1.8,0,-1.8,0.4,-0.1,"Hip.","04","TV","Cobertura","AFN","NE","Dorm. 2","Rio de Janeiro"
-0.3,1.8,0.2,5,1.2,0.1,0.6,6.9,-0.2,-1.2,0,-9.9,0.1,0.7,0,-0.7,0.3,-0.3,"Hip.","04","TV","Cobertura","AFN","NE","Sala","Rio de Janeiro"
-0.7,1.5,-0.4,2.5,0.4,-0.2,2,4.7,-0.4,0.1,0,-8.4,-0.1,3.9,0,-3.9,0.4,-0.2,"Hip.","04","TV","Cobertura","AFN","NO","Dorm. 1","Rio de Janeiro"
-0.3,1.1,0,2.7,1.4,0,1.1,5.3,-0.1,0.2,0,-18.6,0.4,1.7,0,-1.7,0.4,-0.2,"Hip.","04","TV","Cobertura","AFN","NO","Dorm. 2","Rio de Janeiro"
