"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
-0.4,-19.2,0,-6.1,-25,-10.8,-19.7,-14.4,-10,113.6,NA,1.6,-5.6,100,23.5,-1.5,1,-3.2,"Hip.","08","C10","Térreo","AFN","L","Dorm. N","Curitiba"
-0.4,-34.9,40.7,0,-25,-7.2,-10.6,-16.5,-3.9,75,NA,3,-5.9,Inf,29,-2.3,2.1,-3.9,"Hip.","08","C10","Térreo","AFN","L","Dorm. S","Curitiba"
-0.4,-38.1,1.1,16.2,-176.9,-20.7,6.1,-11.2,-20.5,-40.5,NA,-3.2,0,63.7,500,-9.7,4.4,-2.5,"Hip.","08","C10","Térreo","AFN","L","Sala","Curitiba"
-0.8,3.7,-1.5,22.4,-10.6,-21.7,-2,0,-16.1,95.7,NA,-1.1,2.8,300,111.1,-1.3,2.4,-2.4,"Hip.","08","C10","Térreo","AFN","NE","Dorm. 1","Curitiba"
-0.3,26.8,0,34.4,3.6,-2.2,-8.9,5.3,-6.7,113.6,NA,1.2,5.7,200,300,-0.8,1.7,0,"Hip.","08","C10","Térreo","AFN","NE","Dorm. 2","Curitiba"
-1,44.2,2.9,74.6,21.5,-10.4,8.2,26,-12.5,-22.2,NA,-13.1,3.3,71.2,NA,-10.1,3,-2.9,"Hip.","08","C10","Térreo","AFN","NE","Sala","Curitiba"
-0.8,3.1,-3,20.6,-5.1,-21.7,-15.9,-3,-20,87.5,NA,6.3,-5.6,300,111.1,-1.4,2,-1.8,"Hip.","08","C10","Térreo","AFN","NO","Dorm. 1","Curitiba"
-0.3,29.4,1.5,35.5,-9.4,-2.2,7.2,6.4,-3.3,113.6,NA,-6.1,17.1,200,300,-0.8,1.7,-0.6,"Hip.","08","C10","Térreo","AFN","NO","Dorm. 2","Curitiba"
-1,45.3,2.9,74.6,8.2,-10.4,21.5,26.5,-12.5,-22.2,NA,-13.1,3.3,69.8,NA,-10.1,3,-2.9,"Hip.","08","C10","Térreo","AFN","NO","Sala","Curitiba"
-0.3,-42.8,-4.8,-10,-30.7,-41.5,-15.4,-41.8,-6.8,53.3,NA,13.2,-6.3,Inf,136.7,-4.3,4.7,-6.7,"Hip.","08","C10","Térreo","AFN","SE","Dorm. 1","Curitiba"
0,-30.6,8.8,10.8,-8.7,-28.9,-16.8,-19.4,0,80,NA,14.8,0,Inf,300,-4.4,4,-6.5,"Hip.","08","C10","Térreo","AFN","SE","Dorm. 2","Curitiba"
-0.5,-23.4,12.5,9.8,-8.9,-12.3,0,-7.6,0,-39.1,NA,1.2,-4.2,185.3,2300,-8.8,4.6,-7.8,"Hip.","08","C10","Térreo","AFN","SE","Sala","Curitiba"
-0.3,-43,-6.2,-10.2,-21.2,-42,-34.5,-43.7,-7,53.3,NA,20.8,-12.5,Inf,136.7,-4.3,3.9,-6.7,"Hip.","08","C10","Térreo","AFN","SO","Dorm. 1","Curitiba"
0,-29.6,8.8,8.1,-18.8,-28.9,-5.4,-19,0,80,NA,7.7,9.7,Inf,300,-4.3,4.3,-6.5,"Hip.","08","C10","Térreo","AFN","SO","Dorm. 2","Curitiba"
-0.5,-23.4,12.5,9.8,-2.4,-12.3,-6.7,-7.6,0,-39.1,NA,1.4,-4.2,185.3,2300,-8.8,4.6,-7.8,"Hip.","08","C10","Térreo","AFN","SO","Sala","Curitiba"
-0.2,-18.1,-2.6,-6.2,-22.8,-12.5,-13.4,-14.4,-13.3,104,0,2.1,-5.3,80,20.8,-1.5,0.6,-3.8,"Hip.","08","C10","Térreo","AFN","O","Dorm. N","Curitiba"
-0.4,-34.8,25,-2.9,-16.4,-7.1,-7.6,-14.8,-5.9,55,NA,3.8,-5.6,75,28.6,-2.3,1.9,-4.5,"Hip.","08","C10","Térreo","AFN","O","Dorm. S","Curitiba"
-1.2,-23.1,0,21.3,29.2,-9,-35,2.9,-34.4,-34.8,NA,-10.1,3.6,40.5,700,-12.3,5.1,-2.5,"Hip.","08","C10","Térreo","AFN","O","Sala","Curitiba"
-0.8,-13.1,1.6,-6.2,-4.1,-5.9,-21.4,-10.8,-23.5,110.3,NA,1.5,-7.7,0.5,NA,-0.7,1.1,-1,"Hip.","08","C10","Térreo","AFN","L","Dorm. N","Rio de Janeiro"
-0.3,-28.8,45,7.7,3.1,-6.8,-10,-3.3,-2.4,75,NA,2,-6.7,-0.2,NA,0.2,0.8,-1.5,"Hip.","08","C10","Térreo","AFN","L","Dorm. S","Rio de Janeiro"
-1.5,-36.2,-0.8,5.4,-40.2,-20.3,8.8,-10.4,-80,-43.4,NA,-9.2,0,-0.3,NA,2.1,4.8,0.9,"Hip.","08","C10","Térreo","AFN","L","Sala","Rio de Janeiro"
-0.4,18.2,0,28.4,-5,-8.7,1.9,5.7,-19,107.7,NA,-2.2,9.5,2,NA,-4.5,1.4,0,"Hip.","08","C10","Térreo","AFN","NE","Dorm. 1","Rio de Janeiro"
1.1,45,4.7,42.7,13.2,5.8,0,13.5,0,129.2,NA,-3.8,28.2,-1.9,NA,5,0.9,-1.9,"Hip.","08","C10","Térreo","AFN","NE","Dorm. 2","Rio de Janeiro"
-2.2,50.7,3.8,72.3,23.7,-9,10.6,24.8,-22.7,-21.4,NA,-17.1,6.1,2.7,NA,-32.9,2.5,0.5,"Hip.","08","C10","Térreo","AFN","NE","Sala","Rio de Janeiro"
-0.4,14.8,0.7,26.1,0,-10.6,-5.9,3.8,-30,96.3,NA,5.4,4.8,1.9,NA,-4.2,1.7,-1,"Hip.","08","C10","Térreo","AFN","NO","Dorm. 1","Rio de Janeiro"
1.1,48.5,5.3,44.7,1.7,7.2,15.9,15.7,4.8,137.5,NA,-12.4,35.9,-2.4,NA,6.1,0.9,-0.5,"Hip.","08","C10","Térreo","AFN","NO","Dorm. 2","Rio de Janeiro"
