"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
-0.4,-23.1,-5.8,-9.3,-7.8,-9.4,-28,-15.3,-5,96.4,NA,5.8,-7.7,Inf,Inf,-0.4,1,-2.2,"Hip.","08","SF","Térreo","AFN","L","Dorm. N","Curitiba"
-0.2,-36.5,15.1,-21.2,-11.5,-12.7,-28.6,-18.9,-1.7,65.2,NA,9.5,-7.9,Inf,500,-0.7,2.7,-5.7,"Hip.","08","SF","Térreo","AFN","L","Dorm. S","Curitiba"
-0.4,-33,-7.1,-8.5,-18.1,-12.9,1.7,-8.1,-16.7,-40.4,NA,0.9,-3.2,26.1,NA,-7,7.2,-2.2,"Hip.","08","SF","Térreo","AFN","L","Sala","Curitiba"
-0.5,-5.6,-11.5,-2.8,-25.4,-6.8,-6.7,-10.3,-12.2,84.6,NA,6.9,-2.7,300,Inf,-0.4,1.3,-2.2,"Hip.","08","SF","Térreo","AFN","NE","Dorm. 1","Curitiba"
0,10.8,-9.6,4.7,0,3.4,-15,-3.5,0,96,NA,9.2,0,200,Inf,-0.3,0.3,-7.1,"Hip.","08","SF","Térreo","AFN","NE","Dorm. 2","Curitiba"
-0.8,29.1,-8.9,27.3,7.4,6.2,4.9,12.9,-2.4,-28.9,NA,-4.7,0,20.2,NA,-8.1,1.9,-2.7,"Hip.","08","SF","Térreo","AFN","NE","Sala","Curitiba"
-0.5,-8.2,-12.7,-4.2,-8.7,-8,-25.2,-11.3,-12.2,77.8,NA,13.1,-10.8,300,Inf,-0.4,1,-6.7,"Hip.","08","SF","Térreo","AFN","NO","Dorm. 1","Curitiba"
0,14,-7.8,6.5,-13.9,3.3,1.5,-2.4,0,100,NA,2.7,8.3,200,Inf,-0.3,1,-7.7,"Hip.","08","SF","Térreo","AFN","NO","Dorm. 2","Curitiba"
-0.8,29.1,-8.9,27.3,4.8,6.2,7.6,12.6,-2.4,-27.3,NA,-4.7,0,19.8,NA,-8,1.9,-2.7,"Hip.","08","SF","Térreo","AFN","NO","Sala","Curitiba"
0,-45,-3.6,-30.6,-37,-27.2,-21.5,-29.4,-9.6,61.1,NA,16.1,-8.6,Inf,Inf,-0.5,5.1,-5.1,"Hip.","08","SF","Térreo","AFN","SE","Dorm. 1","Curitiba"
0.3,-36.2,6,-15.6,-13,-18.8,-26.2,-19.3,2,72.2,NA,19.2,-3,Inf,Inf,-0.6,3.8,-7.2,"Hip.","08","SF","Térreo","AFN","SE","Dorm. 2","Curitiba"
0,-26.7,6.8,-6.1,-7.3,2.7,-5.6,-3.2,3.7,-41.9,NA,3.4,-3.6,39.3,NA,-6.1,4,-6.7,"Hip.","08","SF","Térreo","AFN","SE","Sala","Curitiba"
-0.3,-46.8,-3.6,-32.7,-23.1,-28.1,-37.8,-30.3,-7.7,61.1,NA,22.3,-17.1,Inf,Inf,-0.5,4.1,-4.5,"Hip.","08","SF","Térreo","AFN","SO","Dorm. 1","Curitiba"
0.3,-34.4,7.2,-12.5,-24.3,-17.6,-12,-18,0,72.2,NA,12.7,6.1,Inf,Inf,-0.5,4.4,-7.8,"Hip.","08","SF","Térreo","AFN","SO","Dorm. 2","Curitiba"
0,-26.7,5.6,-8.8,-7.3,2.7,-7.3,-3.7,3.7,-41.9,NA,3.5,-3.6,38.2,NA,-6,4,-6.7,"Hip.","08","SF","Térreo","AFN","SO","Sala","Curitiba"
-0.4,-23.5,-7.5,-10.7,-29.6,-11.4,-9.8,-16.5,-10.3,93.3,NA,6.4,-5.1,200,Inf,-0.5,0.3,-3.4,"Hip.","08","SF","Térreo","AFN","O","Dorm. N","Curitiba"
-0.2,-36.9,8.2,-22.2,-28.7,-14.5,-12.3,-19.5,-3.3,56,NA,9.7,-10.3,300,400,-0.7,1.9,-2.3,"Hip.","08","SF","Térreo","AFN","O","Dorm. S","Curitiba"
-1.6,-21.6,-5.5,-2.7,12.5,-6.7,-9.8,0.3,-22.5,-36.2,NA,-10.4,3.1,19.6,NA,-10.2,6.7,-4.4,"Hip.","08","SF","Térreo","AFN","O","Sala","Curitiba"
-0.3,-16.3,0.7,-7.1,-3.3,-5.6,-26.2,-11.8,-8,103,NA,3.8,-7.7,-1.6,NA,2.6,-0.5,-1.5,"Hip.","08","SF","Térreo","AFN","L","Dorm. N","Rio de Janeiro"
0.3,-28.9,44,-4.5,0,-6.3,-21.5,-9.3,4.1,76,NA,6,-6.5,-5.5,NA,8.2,1.4,-1.5,"Hip.","08","SF","Térreo","AFN","L","Dorm. S","Rio de Janeiro"
-1.5,-33.9,-2.6,-10.5,-19.4,-12.8,2.6,-8.5,-59.3,-42.6,NA,-7.1,3.1,-2,NA,22.8,8,0,"Hip.","08","SF","Térreo","AFN","L","Sala","Rio de Janeiro"
0.4,13.2,-9.5,4.5,-18.7,2,-1,-2.7,-10,93.1,NA,4.2,9.5,-4.3,NA,9.9,-1.3,-0.5,"Hip.","08","SF","Térreo","AFN","NE","Dorm. 1","Rio de Janeiro"
2.2,35.1,-7.3,14,7.6,13.2,-7.7,4.7,10,111.1,NA,4.7,28.2,-8.5,NA,21.6,-1.3,-2.4,"Hip.","08","SF","Térreo","AFN","NE","Dorm. 2","Rio de Janeiro"
-1.6,40.6,-6.2,32.4,12.5,9.3,8.9,16.6,-10.3,-24.5,NA,-9.9,2.9,0.7,NA,-13.7,1.3,0,"Hip.","08","SF","Térreo","AFN","NE","Sala","Rio de Janeiro"
0.7,9.8,-10.7,3.2,-2,0,-19.8,-4.4,-10,89.7,NA,12.1,4.8,-5,NA,11.6,-1.1,-1.9,"Hip.","08","SF","Térreo","AFN","NO","Dorm. 1","Rio de Janeiro"
2.2,39.3,-5.1,16.7,-5.9,16.2,9.8,6.9,10,114.8,NA,-4.3,33.3,-8.4,NA,21.3,-1.9,-1,"Hip.","08","SF","Térreo","AFN","NO","Dorm. 2","Rio de Janeiro"
