"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
47.4,26.6,13.8,12.2,13,9.5,13.2,48,-4.8,7.2,0,-108.7,4.5,1.1,0.7,98.2,32.5,17,"Hip.","08","SF","Intermediário","AFN","L","Dorm. N","Curitiba"
47.5,15.4,5.9,3.4,6.3,7.4,7.3,24.4,-6.6,4.7,0,-99.4,4.2,0.9,2.5,96.6,32.5,16.7,"Hip.","08","SF","Intermediário","AFN","L","Dorm. S","Curitiba"
48.8,21.8,11.9,6.7,7.4,6.7,14.7,35.5,-6.5,3.4,0,-110.7,3.3,39.6,0,60.4,34.9,17,"Hip.","08","SF","Intermediário","AFN","L","Sala","Curitiba"
36.1,28.4,15.1,17,10.4,9.9,10.1,47.5,-5.5,5.8,0,-119,4.1,2,0.1,97.9,33.4,17,"Hip.","08","SF","Intermediário","AFN","NE","Dorm. 1","Curitiba"
36.3,29.8,15.4,13.4,15.8,7.1,15.6,51.9,-4.8,5.9,0,-110.4,4.1,1.4,0.1,98.5,33.1,16.7,"Hip.","08","SF","Intermediário","AFN","NE","Dorm. 2","Curitiba"
37.4,32.5,16.6,15,10.3,8,10.1,43.4,-5,3.8,0,-129.9,3.6,48.9,0,51.1,33.5,17.5,"Hip.","08","SF","Intermediário","AFN","NE","Sala","Curitiba"
36.2,28.4,15,17,10.2,9.8,10.3,47.3,-5.4,5.9,0,-108.4,3.7,1.8,0.1,98.1,33.3,17.4,"Hip.","08","SF","Intermediário","AFN","NO","Dorm. 1","Curitiba"
36.2,29.8,15.6,13.4,16,7.2,15.5,52,-4.8,5.9,0,-121.2,4.6,1.5,0.2,98.3,33.1,16.8,"Hip.","08","SF","Intermediário","AFN","NO","Dorm. 2","Curitiba"
37.4,32.5,16.6,15,10.3,8,10.1,43.4,-5,3.8,0,-129.9,3.6,48.9,0,51.1,33.5,17.5,"Hip.","08","SF","Intermediário","AFN","NO","Sala","Curitiba"
36.4,15.7,8.1,4.2,6.1,9.7,5.9,25.9,-6.1,3.6,0,-93.4,3.7,1.2,0.9,97.9,32.4,17,"Hip.","08","SF","Intermediário","AFN","SE","Dorm. 1","Curitiba"
36.6,16.7,8.8,3.2,9,7.9,9.2,29.2,-5.4,3.6,0,-85.4,3.6,0.7,1.3,98,32.1,16.8,"Hip.","08","SF","Intermediário","AFN","SE","Dorm. 2","Curitiba"
