"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
0.1,-3.8,-0.9,-0.9,-0.6,-0.7,-4.3,-6.6,-0.2,3.1,0,3.1,-0.2,-0.2,-0.4,0.6,-0.3,0.6,"Hip.","08","TV","Cobertura","AFN","L","Dorm. N","Curitiba"
0.1,-1.4,-0.5,-0.3,-0.3,-0.6,-1.4,-2.6,-0.2,1.9,0,1.7,-0.3,-0.1,-0.6,0.7,-0.3,0.5,"Hip.","08","TV","Cobertura","AFN","L","Dorm. S","Curitiba"
-0.2,-8,-4.1,-0.9,-3.4,-2.1,-2.1,-8.5,-1.6,-2.8,0,-4.9,0,2.3,-0.9,-1.4,0.3,0.9,"Hip.","08","TV","Cobertura","AFN","L","Sala","Curitiba"
0.3,-1.7,0.6,2.3,-0.5,0.7,-0.2,2.3,0,2.4,0,12.6,0.8,-0.5,-0.4,0.9,-0.2,0.4,"Hip.","08","TV","Cobertura","AFN","NE","Dorm. 1","Curitiba"
0.6,-1.5,1.5,2.5,0.3,1.1,-1.5,2.3,0.5,2.6,0,19.5,0.9,-1.1,0,1.2,-0.6,0.3,"Hip.","08","TV","Cobertura","AFN","NE","Dorm. 2","Curitiba"
-0.1,-2.8,-0.1,3.7,0.5,0,-0.1,4,0,-1.4,0,-1.8,0,1,-0.6,-0.4,0,0.3,"Hip.","08","TV","Cobertura","AFN","NE","Sala","Curitiba"
0.3,-1.9,0.6,2.3,-0.5,0.7,-0.6,1.9,0.1,2.4,-0.1,23.2,0.3,-0.6,-0.5,1.1,-0.3,0.4,"Hip.","08","TV","Cobertura","AFN","NO","Dorm. 1","Curitiba"
0.6,-1.3,1.4,2.5,-1.7,1.1,0.6,2.6,0.5,2.7,0,8.4,1.5,-1.1,-0.1,1.2,-0.5,0.3,"Hip.","08","TV","Cobertura","AFN","NO","Dorm. 2","Curitiba"
-0.1,-2.8,-0.1,3.7,-0.2,0,0.6,4,0,-1.3,0,-1.8,0,1,-0.6,-0.4,0,0.3,"Hip.","08","TV","Cobertura","AFN","NO","Sala","Curitiba"
0.3,-1.1,-0.4,0,-0.8,-2.9,-0.3,-4,-0.2,1.5,0,9.6,0.8,-0.2,-0.5,0.7,-0.2,0.4,"Hip.","08","TV","Cobertura","AFN","SE","Dorm. 1","Curitiba"
0.6,-0.1,0.7,0.7,0.2,-1.2,-0.6,-1,0.3,1.8,0,14.2,0.9,-0.6,0.1,0.6,-0.2,0.2,"Hip.","08","TV","Cobertura","AFN","SE","Dorm. 2","Curitiba"
-0.1,-1.7,-0.4,-0.1,-0.4,-0.4,-0.2,-1,-0.1,-1.2,0,-0.1,0,0.1,-0.5,0.4,-0.1,0.1,"Hip.","08","TV","Cobertura","AFN","SE","Sala","Curitiba"
0.3,-1.2,-0.3,0.1,-0.6,-2.9,-1,-4.4,-0.1,1.5,0,19,0.3,-0.4,-0.4,0.8,-0.2,0.3,"Hip.","08","TV","Cobertura","AFN","SO","Dorm. 1","Curitiba"
0.5,0,0.7,0.7,-0.8,-1.2,0.5,-0.8,0.3,1.8,0,4.7,1.5,-0.5,0.1,0.6,-0.3,0.3,"Hip.","08","TV","Cobertura","AFN","SO","Dorm. 2","Curitiba"
-0.1,-1.7,-0.4,-0.1,-0.3,-0.4,-0.3,-1,-0.1,-1.2,0,-0.1,0,0.1,-0.4,0.4,-0.1,0.1,"Hip.","08","TV","Cobertura","AFN","SO","Sala","Curitiba"
0.1,-4.3,-0.9,-1.1,-4.8,-0.9,-1.1,-7.9,-0.3,3.1,0,4.6,-0.2,-0.6,-0.2,0.8,-0.4,0.5,"Hip.","08","TV","Cobertura","AFN","O","Dorm. N","Curitiba"
0.1,-1.7,-0.5,-0.3,-1.9,-0.8,-0.5,-3.5,-0.2,1.8,0,3.3,-0.2,-0.3,-0.4,0.7,-0.4,0.4,"Hip.","08","TV","Cobertura","AFN","O","Dorm. S","Curitiba"
-0.6,-8.5,-4.5,-0.7,-0.5,-2,-3.9,-7.2,-1.9,-2.9,-0.1,-10,0.1,3.7,-0.5,-3.2,0.5,0.9,"Hip.","08","TV","Cobertura","AFN","O","Sala","Curitiba"
0,-4.3,-0.5,-1.4,-0.2,-0.4,-6.3,-8.2,0,4.4,0,2.8,-0.8,-1,0,1,-0.4,0,"Hip.","08","TV","Cobertura","AFN","L","Dorm. N","Rio de Janeiro"
0,-1.4,0,0.2,0.4,-0.8,-2.1,-2.3,0,2.6,0,1.4,-0.7,-0.3,0,0.3,-0.6,0,"Hip.","08","TV","Cobertura","AFN","L","Dorm. S","Rio de Janeiro"
-0.7,-12.7,-7,-2.5,-6.1,-3.7,-4.9,-17.2,-3.1,-4.5,0,-9.1,0.1,2.8,0,-2.8,0.9,0.6,"Hip.","08","TV","Cobertura","AFN","L","Sala","Rio de Janeiro"
1.6,1.7,3,5.1,1.8,3,1.1,10.9,0.8,3.6,0,8.2,3.1,-7.3,0,7.3,-0.9,0.1,"Hip.","08","TV","Cobertura","AFN","NE","Dorm. 1","Rio de Janeiro"
