"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
47.6,23.5,8.7,11.5,5.2,5.5,13.7,35.9,-3.8,6,0.1,-97.3,4.7,1.1,8.2,90.7,32.1,13.7,"Hip.","08","TV","Cobertura","AFN","L","Dorm. N","Curitiba"
47.7,13.9,6,-2.1,2.1,9.1,8.7,17.8,-5.6,4.2,0,-91.2,4.4,1,11.3,87.7,32.3,13.3,"Hip.","08","TV","Cobertura","AFN","L","Dorm. S","Curitiba"
49.8,18.7,6.6,5.5,1.2,5.7,12.8,25.2,-5.6,2.7,0,-90.6,2.8,32.5,2.6,64.9,32.9,14.3,"Hip.","08","TV","Cobertura","AFN","L","Sala","Curitiba"
36.2,26.3,8.6,16.8,10.4,5,10.2,42.4,-4.4,5,0.1,-110,4.3,1.6,5.3,93.1,31.9,14.9,"Hip.","08","TV","Cobertura","AFN","NE","Dorm. 1","Curitiba"
36.3,27.8,9.8,13.6,15.6,4.1,15.9,49.1,-3.9,5.2,0.1,-105,4.3,1.5,4.9,93.7,31.5,15.3,"Hip.","08","TV","Cobertura","AFN","NE","Dorm. 2","Curitiba"
38.2,28.4,9.1,13.2,8.6,4,8.6,34.3,-4.5,3,0,-101.8,3.1,37.6,0.1,62.3,32,14.9,"Hip.","08","TV","Cobertura","AFN","NE","Sala","Curitiba"
36.2,26.3,8.6,16.8,10,5.1,10.6,42.5,-4.3,5.1,0,-99.9,3.8,1.6,5.2,93.2,31.8,14.9,"Hip.","08","TV","Cobertura","AFN","NO","Dorm. 1","Curitiba"
36.3,28,9.7,13.6,15.9,4.1,15.7,49.3,-3.9,5.2,0.1,-116.1,4.9,1.5,4.8,93.7,31.6,15.3,"Hip.","08","TV","Cobertura","AFN","NO","Dorm. 2","Curitiba"
38.2,28.4,9.1,13.2,8.6,4,8.6,34.3,-4.5,3,0,-101.8,3.1,37.6,0.1,62.3,32,14.9,"Hip.","08","TV","Cobertura","AFN","NO","Sala","Curitiba"
36.5,14.5,7,-1.1,7,10.5,6.8,23.2,-5.3,3.2,0,-87,3.8,1.1,9.1,89.8,31.9,14.1,"Hip.","08","TV","Cobertura","AFN","SE","Dorm. 1","Curitiba"
36.6,16.1,8.2,-0.2,10.4,9,10.9,30,-4.8,3.5,0,-82.6,3.8,1,8.6,90.4,31.8,14.3,"Hip.","08","TV","Cobertura","AFN","SE","Dorm. 2","Curitiba"
39.4,15.2,7.8,-0.6,5.3,8.2,5.4,18.4,-5.3,1.8,0,-70.2,2.5,24.7,3.9,71.5,32.2,13.9,"Hip.","08","TV","Cobertura","AFN","SE","Sala","Curitiba"
