"il_hg","afn_hg","floor_hg","roof_hg","walls_s_hg","walls_e_hg","walls_n_hg","walls_w_hg","walls_int_hg","walls_ext_hg","windows_hg","doors_hg","air_change","tbs_min","tbs_max","top_min","top_max","ph_sup","ph_inf","phft","sim","typo","shell","storey","position","orient","room","weather"
47.91,-52.66,0.58,3.37,0.77,-1.77,0.42,3.64,4.41,-1.35,-3.01,0.66,1.99,14.91,27.28,14.72,27.23,0,19.23,80.77,0,"h","ref",1,"corner","ne","dorm1","curitiba"
50.16,-56.1,0.88,3.36,2.61,4.21,0.44,-6.68,6.82,-6.24,-3.12,0.68,2.11,14.98,27.19,14.84,27.11,0,17.71,82.29,0,"h","ref",1,"corner","ne","dorm2","curitiba"
36.46,-34.2,-0.21,1.7,1.31,-0.5,-0.02,-0.15,1.82,-1.17,-2.32,0.5,1.94,15.34,27.04,15.58,26.19,0.11,3.08,96.81,0,"h","ref",1,"corner","ne","liv","curitiba"
47.91,-53.35,0.64,3.02,0.4,3.64,0.33,-4.42,4.04,-4.09,-3.01,0.62,2.01,14.9,27.22,14.7,27.17,0,19.23,80.77,0,"h","ref",1,"corner","nw","dorm1","curitiba"
50.15,-56.7,0.68,3.5,2.51,-5.63,0.39,3.84,6.35,-5.24,-3.15,0.66,2.13,14.99,27.08,14.85,27,0,17.78,82.22,0,"h","ref",1,"corner","nw","dorm2","curitiba"
36.31,-30.07,-0.59,1.32,0.79,-0.29,-0.33,-1.17,0.73,-1.73,-2.44,0.34,1.51,15.35,27.03,15.59,26.16,0.11,3.09,96.8,0,"h","ref",1,"corner","nw","liv","curitiba"
48,-47.3,1.69,-0.25,-7.09,-1.56,0.35,0.86,1.21,-8.65,-3.81,0.43,1.85,14.87,27.11,14.66,27.01,0,24.89,75.11,0,"h","ref",1,"corner","se","dorm1","curitiba"
50.26,-49.85,2.13,-0.78,-7.09,1.61,1.98,-10.15,3.58,-17.25,-3.97,0.39,1.96,14.93,26.82,14.78,26.66,0,24.37,75.63,0,"h","ref",1,"corner","se","dorm2","curitiba"
36.67,-29.37,1.12,1.49,-0.97,-0.19,3.11,0.25,3.69,-1.49,-2.35,0.43,1.68,15.31,27.06,15.55,26.2,0.09,4.62,95.29,0,"h","ref",1,"corner","se","liv","curitiba"
48,-47.88,1.99,-0.58,-7.01,0.92,0.1,-4.07,1.01,-11.08,-3.78,0.41,1.87,14.86,27.24,14.66,27.14,0,24.91,75.09,0,"h","ref",1,"corner","sw","dorm1","curitiba"
50.26,-50.6,2.19,-0.66,-7.05,-9.24,1.91,1.3,3.22,-16.29,-3.96,0.38,1.98,14.95,26.75,14.81,26.55,0,24.26,75.74,0,"h","ref",1,"corner","sw","dorm2","curitiba"
36.57,-26.71,1.05,1.18,-1.21,0.19,2.85,-0.81,3.06,-2.04,-2.45,0.33,1.4,15.31,27.06,15.55,26.17,0.07,4.66,95.27,0,"h","ref",1,"corner","sw","liv","curitiba"
47.61,-59.72,8.06,3.14,1.16,-3.03,-0.89,4.6,5.76,-3.92,-3.21,0.9,2.08,13.92,28.21,13.72,28.13,0,18.47,81.53,0,"h","ref",2,"corner","ne","dorm1","curitiba"
49.84,-63.62,8.01,3.22,3.6,5.19,-0.79,-7.42,8.78,-8.21,-3.32,0.93,2.21,14,27.88,13.88,27.8,0,17.14,82.86,0,"h","ref",2,"corner","ne","dorm2","curitiba"
36.37,-41.86,5.92,2.08,2.54,-0.54,0.55,0.21,4.13,-1.38,-2.42,0.9,2.57,14.37,28.06,14.65,27.38,2.31,4.46,93.24,0,"h","ref",2,"corner","ne","liv","curitiba"
47.6,-60.85,7.4,2.72,0.68,4.5,-1.1,-5.6,5.18,-6.69,-3.25,0.84,2.11,13.92,28.18,13.72,28.1,0,18.49,81.51,0,"h","ref",2,"corner","nw","dorm1","curitiba"
49.83,-64.76,7.74,3.33,3.43,-6.64,-0.98,4.65,8.09,-7.62,-3.4,0.88,2.24,14.02,27.71,13.9,27.75,0,17.24,82.76,0,"h","ref",2,"corner","nw","dorm2","curitiba"
36.15,-35.1,4.94,1.54,1.74,-0.05,0.03,-1.26,2.45,-1.99,-2.58,0.65,1.87,14.39,27.99,14.66,27.25,1.84,4.53,93.63,0,"h","ref",2,"corner","nw","liv","curitiba"
47.76,-51.27,3.94,-0.54,-7.42,-2.56,0.51,1.1,1.62,-9.99,-3.9,0.58,1.89,13.82,28.23,13.6,28.19,0,25.33,74.67,0,"h","ref",2,"corner","se","dorm1","curitiba"
50.01,-53.97,3.11,-0.98,-7.38,1.82,2.67,-10.26,4.49,-17.64,-4.07,0.53,1.99,13.9,27.97,13.76,27.85,0,24.64,75.36,0,"h","ref",2,"corner","se","dorm2","curitiba"
36.62,-35.15,5.91,2.03,-0.47,-0.18,4.96,0.71,6.53,-1.52,-2.38,0.78,2.16,14.29,28.09,14.57,27.4,1.44,7.15,91.4,0,"h","ref",2,"corner","se","liv","curitiba"
