"arquivo_climatico","uf","municipio","lat","long","alt","populacao","zbb","tbsm","cdh","cdd10","cdd24","hdd18"
"BRA_AC_Feijo.AP.819240_INMET","AC","Feijo",-8.14,-70.34,163,32385,8,26.07582192,72833,5867.7,826.6,10
"BRA_AC_Parque.Chandless.819630_INMET","AC","Rio Branco",-9.37,-69.93,206,370550,8,24.87121005,72862,5428,408,3.4
"BRA_AC_Porto.Walter.819210_INMET","AC","Porto Walter",-8.27,-72.74,240,10759,8,26.36347032,69205,5972.7,934.7,10
"BRA_AC_Rio.Branco.829150_INMET","AC","Rio Branco",-9.96,-68.17,220,370550,8,25.116621,67634,5517.6,520.3,5
"BRA_AL_Arapiraca.AP.819960_INMET","AL","Arapiraca",-9.8,-36.62,241,231053,8,24.84299087,58779,5417.7,440.7,0
"BRA_AL_Coruripe.866190_INMET","AL","Coruripe",-10.13,-36.29,74,56631,8,25.72098174,68088,5738.2,651.2,0
"BRA_AL_Maceio.829940_INMET","AL","Maceio",-9.67,-35.74,64,1013773,8,25.52243151,65930,5665.7,587.6,0
"BRA_AL_Palmeira.dos.Indios.829920_INMET","AL","Palmeira dos Indios",-9.41,-36.63,275,73878,8,25.27921233,54251,5576.9,593.6,0
"BRA_AL_Pao.de.Acucar.819940_INMET","AL","Pao de Acucar",-9.75,-37.44,19,24878,8,27.28173516,65042,6307.8,1212.8,0
"BRA_AL_Sao.Luis.do.Quitunde.819970_INMET","AL","Sao Luis do Quitunde",-9.29,-35.57,19,34623,8,25.42211187,68296,5629.1,554.8,0
"BRA_AM_Autazes.817320_INMET","AM","Autazes",-3.58,-59.13,28,37033,8,26.50482877,79792,6024.3,914.5,0
"BRA_AM_Barcelos.AP.816480_INMET","AM","Barcelos",-0.99,-62.92,17,27433,8,26.26980594,79112,5938.5,830.2,0
"BRA_AM_Coari.817700_INMET","AM","Coari",-4.1,-63.15,43,83078,8,26.2509589,77389,5931.6,826.2,0
"BRA_AM_Humaita.AP.818900_INMET","AM","Humaita",-7.55,-63.07,72,51302,8,26.28507991,76111,5944.1,841.8,0
"BRA_AM_Itacoatiara.AP.817330_INMET","AM","Itacoatiara",-3.13,-58.48,45,97122,8,26.42942922,80229,5996.7,888.7,0
